verb,frequency,norm,pmi,samples
set,3.0,0.0681818181818,0.774911500589,but I set my teeth hard and got ready to try		and set my teeth in		and that my teeth were set fast
grind,3.0,0.0681818181818,1.36269816549,He ground his teeth and was silent		grinding his teeth in impotent rage		over which he ground his teeth malignantly
prevent,1.0,0.0227272727273,0.728391484954,that it needed all his strength to prevent his teeth from chattering
tap,1.0,0.0227272727273,0.613981133777,Henwood tapped his teeth with the broad wood pencil
sow,1.0,0.0227272727273,0.728391484954,The dragon's teeth are already sown amongst Mr
show,1.0,0.0227272727273,0.613981133777,she showed her well-set teeth sparkling between them
feel,1.0,0.0227272727273,0.561337400291,He set his teeth yet felt his heart leaping and the blood singing in his ears
see,1.0,0.0227272727273,0.0352443043943,I see the white teeth working at the steel
have,1.0,0.0227272727273,0.0,she has had her teeth here too
mash,1.0,0.0227272727273,0.728391484954,when Jim bit into it it most mashed all his teeth out
extract,1.0,0.0227272727273,0.698538521805,in the tone of a determined person who is informed that the dentist is come to extract that large double tooth of his
come,1.0,0.0227272727273,0.536019592307,the teeth came together
laid,1.0,0.0227272727273,0.114025182247,and laid her teeth to his cheek
chatterthen,1.0,0.0227272727273,0.728391484954,Your teeth chatterthen
take,1.0,0.0227272727273,0.0505117765251,and the conduct complained of was that he had drifted into the habit of winding up every meal by taking out his false teeth and hurling them at his wife
expose,1.0,0.0227272727273,0.669550984931,so that three teeth were exposed in a perpetual snarl
hang,1.0,0.0227272727273,0.487229428137,The tooth hung dangling by the bedpost
break,1.0,0.0227272727273,0.613981133777,break your teeth on it
clench,1.0,0.0227272727273,0.698538521805,for he kept his teeth clenched
hold,1.0,0.0227272727273,0.0352443043943,So he thought he would hold the tooth in reserve for the present
chatter,1.0,0.0227272727273,0.728391484954,my teeth chattered as I hastened down the drive
clean,1.0,0.0227272727273,0.698538521805,and the still more frightful manner of cleaning the teeth afterward with a pocket knife
pick,1.0,0.0227272727273,0.728391484954,or Colonel de Hamal picking his teeth in a balcony
