nonoverlapping dependency,frequency,norm,rank,samples
( VBG dobj NN ),6.0,0.0530973451327,3,"Putting a hand over the face, closing the eyes

Tipping the head back for a moment and closing the eyes

Taking a deep, pained breath and closing the eyes

Hair hanging in face, hiding the eyes

Shaking head and closing the eyes

Pinching the bridge of the nose and tightly squeezing the eyes
"
( VBN mark IN ) ( VBN nsubj NN ) ( VBN compound:prt RP ),2.0,0.0176991150442,6,"Exhaling while the eyes look up

Head down as the eyes look up
"
( NN acl:relcl VB ) ( VB aux VBN ) ( VB neg RB ) ( VB xcomp VB ) ( VB mark TO ) ( VB advmod RB ) ( RB advmod RB ),1.0,0.00884955752212,7,"Eyes that don't seem to blink often enough
"
( VB advcl VBG ) ( VBG dobj NN ) ( NN nmod NN ) ( NN case IN ) ( VB nsubj NN ),1.0,0.00884955752212,7,"Pinching the bridge of the nose, eyes closed
"
( VBG dobj NN ) ( NN acl:relcl VBN ) ( VBN dobj NN ) ( NN amod JJ ),1.0,0.00884955752212,7,"Watering eyes that display an inward focus
"
( VB nsubj NN ) ( NN acl:relcl JJ ) ( JJ cop VBN ) ( VB nmod NN ) ( NN case IN ) ( NN amod JJ ),1.0,0.00884955752212,7,"Eyes that are soft, filled with an inner glow
"
( NN amod JJ ) ( NN compound NN ) ( NN cc CC ) ( NN conj NN ) ( NN amod JJ ),1.0,0.00884955752212,7,"An exaggerated eye roll or upward glance
"
( NN advmod RB ) ( NN compound NN ) ( NN compound NN ),1.0,0.00884955752212,7,"Sending someone a long, pained look and then breaking eye contact
"
( NN compound NN ) ( NN cc CC ) ( NN conj NN ),1.0,0.00884955752212,7,"Closing eyes and squealing
"
( NN dep NN ) ( NN amod JJ ) ( JJ cc CC ) ( JJ conj JJ ),1.0,0.00884955752212,7,"Eyes that look dark or serious
"
( NN case IN ) ( NN appos NN ) ( NN amod JJ ) ( JJ cc CC ) ( JJ conj JJ ),1.0,0.00884955752212,7,"Covering the mouth with a hand, eyes wide and shining
"
( VB mark TO ) ( VB dobj NN ) ( NN case POS ),1.0,0.00884955752212,7,"An inability to meet another's eyes
"
( VBG dobj NN ) ( VBG nmod NN ) ( NN case TO ),1.0,0.00884955752212,7,"Pressing the palms to the eyes
"
( NN amod JJ ) ( NN appos NN ) ( NN amod JJ ) ( NN amod JJ ),1.0,0.00884955752212,7,"A slack expression, wet, dull eyes
"
