verb,frequency,norm,pmi,samples
rest,3.0,0.0288461538462,0.714493420923,Resting her cheek on her forefinger		a thin cheek rested on a delicate little hand		rested her cheek on her hand
have,3.0,0.0288461538462,0.303913212148,"Her cheek had a colour		""I had red cheeks once""		his cheek had a rather hectic freshness"
flush,3.0,0.0288461538462,1.27796277817,her cheeks are flushed		her cheek would flush		her cheeks flushed by the quick walk uphill
glow,3.0,0.0288461538462,1.33353262933,his cheek would glow		her heart yet beat and her cheek yet glowed with it		Her cheek glowed as if a crimson flower through whose petals the sun shone had cast its light upon it
press,3.0,0.0288461538462,0.997060392708,one would think she had never pressed her cheek to my shoulder		and the nestling action with which she pressed her cheek to mine		she pressed her cheek for a moment against his
touch,2.0,0.0192307692308,0.887626551663,then she touched my cheek gently with her forefinger		he would touch my cheek with his lips for the first
freshen,2.0,0.0192307692308,1.07483809375,the air freshened the girls' cheeks and gracefully dishevelled their ringlets		and freshen your cheek and uncurl your hair with the breeze
run,2.0,0.0192307692308,0.772557221878,and Emma felt the tears running down her cheeks almost all the way home		a belated tear ran down her cheek and she glanced from their smooth white folds to the still figure on the bed
overspread,1.0,0.00961538461538,0.699225948793,and the cheeks of both were overspread with the deepest blush
tap,1.0,0.00961538461538,0.584815597615,tapping the young cheek tenderly and smoothing back the tangled curls with his great brown hand
supply,1.0,0.00961538461538,0.699225948793,supplies a sufficient contrast to the smoother cheek and brow
high-coloured,1.0,0.00961538461538,0.699225948793,his fair English cheek high-coloured
see,1.0,0.00961538461538,0.00607876823258,I see a white cheek and a faded eye
seem,1.0,0.00961538461538,0.389071020489,her cheeks seemed rosier
tint,1.0,0.00961538461538,0.699225948793,Shirley's clear cheek was tinted yet with the colour which had risen into it a few minutes since
dimple,1.0,0.00961538461538,0.699225948793,and neither dimples the cheek nor lights the eye
show,1.0,0.00961538461538,0.584815597615,she said with something as near a blush as her old cheeks could show
lean,1.0,0.00961538461538,0.36709211377,What does she mean by leaning her cheek on Rushedge i' that way
laid,1.0,0.00961538461538,0.0848596460857,speaking in my ear as his cheek was laid on mine
approach,1.0,0.00961538461538,0.584815597615,I approached my cheek to her lips
roll,1.0,0.00961538461538,0.669372985643,and tears rolled down the cheeks of the head
forsake,1.0,0.00961538461538,0.699225948793,the blood was forsaking his cheek and lips
be,1.0,0.00961538461538,0.152682242424,"and your cheeks so hot as they are even now"""
burn,1.0,0.00961538461538,0.669372985643,both your cheek and hand are burning hot
sink,1.0,0.00961538461538,0.612214571803,his cheeks were sunk
kiss,1.0,0.00961538461538,0.612214571803,with her Amazon's cap of black velvet placed gracefully above the long curls that kissed her cheek and floated to her shoulders
present,1.0,0.00961538461538,0.669372985643,her cheek was presented to my lips
possess,1.0,0.00961538461538,0.64038544877,and that her cheek possessed the polish and the roundness of early youth
benumb,1.0,0.00961538461538,0.699225948793,my cheek and arms were not benumbed by pressure against the hard desk
look,1.0,0.00961538461538,0.263907877535,her cheeks looked as round as apples
sodden,1.0,0.00961538461538,0.699225948793,my cheeks and lips were sodden white
turn,1.0,0.00961538461538,0.0,turning her glowing cheeks towards him
pillow,1.0,0.00961538461538,0.669372985643,he again pillowed his cheek on her breast
