verb,freq_g,freq_t,rank_g,rank_t,sent_g,sent_t
put,38.0,2.0,1,4,"and puts his hands together and says
that you could paddle right up and put your hand on them if you wanted to
and put his hand on his heart
and then put their hand on their head
and in despair she put her hand in her pocket
Just put your hand in mine
I put out my hand to feel the dark mass before me
You have already as good as put your hand to the plough
she put her hand on my shoulder
I put her cool hand to my hot forehead
He put out his hand with a quick gesture
I did not like to put my hand into a hireling's
and put his hand on me
Louis association put his hand into the till and walked off with every dollar of the ample fund
and had it pigeon-holed in his head where he could put his intellectual hand on it whenever it was wanted
and then she put her hands behind her
At which words Miss Keeldar put her hand into Caroline's with an impulsively affectionate movement
and put both her hands into his
He put his hand in his pocket and drew it out empty
She put her hand to mine as if to remove it from the lock
He put his hand there and uttered this incantation impressively
He put his hand on his jacket pocket
Twice she put out her hand to take the garment again
Injun Joe put his hand on his knife
You see we knew right where to put our hands on them
put her hands upon his shoulders
must put out his hand and find that thing
but Hugh put up his hand in dissent
I put my hand gently on her shoulder
and puts her hand on my shoulder
put your hand into the pockets
If Lucy Snowe were discovered to have put her hand to such work
She put a hand to her head
She put her hands to the sides of the trolly and sat erect
She put her hand on the shelf to find the matches
He put his hands on the arms of the chair and sought to rise
As he put his hands into the dipper he noticed they were trembling and
Crossing the room he put a hand on the high mantelshelf in search of his pipe","Putting a hand over the face, closing the eyes

Putting one's hands over one's ears
"
shake,28.0,1.0,2,5,"My hands shook
and most shook the hands off of them frauds
and actually shaken hands with her at last
she must have shaken hands with him as heartily as ever
The teachers then shook hands with me and kissed me
She came and shook hand with me when she heard that I was her governess
Why my hand shook
he thought proper to forget even to shake hands with me
then Bob and the Child shook hands with each other
he shook hands with me and gave me a $50 green back
and recognizing and metaphorically shaking hands with a hundred familiar objects which no longer exist
she even shook hands with the former
They shook hands with great cordiality
and shook hands with such warmth
shaking hands with us warmly
shook hands and passed a jest with each
shaking hands with both Farren and his wife
Miss Keeldar shook hands with her
shaking hands with them cordially
Helstone shook hands heartily when they had fairly got the whole party through the lane
_is_ shaking hands with him
and then shook hands with me
he shook hands with the rest present
shook hands with us all round
since he and I shook hands at our last parting in St
and frankly stretched across the table a white hand to be shaken
observing that his hands shook
He shook hands with Mrs","Shaking out the hands
"
hold,27.0,4.0,3,3,"but my hand was held by a grasp of iron
And still holding my hand she made me rise
held his hands out before him
and Miss de Bourgh exerted herself so far as to curtsey and hold out her hand to both
The lady had taken a quick step forward and had held out her hand to him
You held out your hand for an egg
And she held up her small hand with an admonitory gesture
she only required that you should hold your hand out and take it
held her hand over Mr
She could hold half a dozen hands like yours in her one palm
she held his hand in hers
and Tom gave Becky the pencil and held her hand in his
he would stay by her and hold her hand until all was over
I again held out my hand when I left the room
She had held out her hand to methat
holding out my hand without looking at her
He held out his hand at partingan
and with that one hand held her poised aloft above his head
she held out her hand to keep him off ""Then
she held out her hand to bid him a friendly good-night
holding her hands plastered together
When my godmother had held my hand for a little while
held his hand out to me
his olive hand held my desk open
She held my hand between hers
he held forth his hand with his tribune gesture
he was holding his trembling hands before the blaze and the flames were leaping over the heap of sea-rimed fuel","Holding the hands loosely behind the back

Holding hands out and weighing them in the air

Holding a hand up, warding others off

Holding a hand up, warding someone or something off
"
lift,12.0,2.0,7,4,"that even when she lifted her hand against his life
He lifted his hand and opened his eyelids
had lifted my hand against a pilot on duty
he lifted his lean hand and waved us peremptorily away
He lifted hands and eyes
she lifted her hand and bade him ""Hush""
""I deserve to hear that in a moment when I can scarce lift my hand to my head
the ladies would lift up their hands and let them fall helplessly in their laps
the clergyman lifted his hands and began a prayerjust
Ginevra once or twice lifted her hand and arm
it is a new thing to see one testily lifting his hand to screen his eyes
They would see him wronged and not lift a hand to prevent it","Lifting a hand loosely, palm up in a Who cares? gesture

Lifting hands up and then letting them fall
"
have,12.0,2.0,7,4,"because the devil had had his hands on it
and when he had his hand in and was excited
and he most always had his hands in his britches-pockets
had any hand in it""
I have neither hand nor nails""
and one who had his hand on the door-knob and had turned it
Sir Walter had so large a hand in making Southern character
Whatever he had a hand in must be managed handsomely
but it suffices to explain why Caroline would have no other hand than William's to guide her chair
but if only the worthy ones got His blessings and had His hand to help them over the rough places
Four times he had his hands on that rich treasure and four times it wasted to nothingness in his fingers as sleep forsook him and wakefulness brought back the hard reality of his misfortune
but he still had his hands on that which he had taken","Belittling comments that remind the target who has the upper hand

Projecting the voice, reinforcing who has the upper hand
"
putt,9.0,2.0,9,4,"putting her hand before her face
putting my hand into hers
So putting my hand in through the open window
putting my hands and my purse behind me
putting her white hand on my head
Putting his hands into his pockets
putting her hand into mine
putting her hand to her heart
Putting both hands to the work","Putting a hand over the face, closing the eyes

Putting one's hands over one's ears
"
clap,8.0,1.0,10,5,"and everybody clapped their hands and went just about wild
""and little Adele will clap her hands and jump to see you
I now clapped my hands in sudden joymy
how the other lot did yell and laugh and clap their hands all the way through
clapped my hand to my face
Clap our hands amidst the flame
yet I clapped the hands of my heart
clapping her hands and crying","Clapping the hands over the ears
"
wash,7.0,1.0,11,5,"Have you washed your hands and face this morning""
I wash my hands of you
wash my hands thereof
for the purpose of washing his hands and his forehead
and wash his hands of her for ever
I wash my hands of the lot
Monsieur washed his hands in a little stone bowl","Dry washing the hands
"
fold,7.0,2.0,11,4,"folding her little hands demurely before her
a hand first penetrated the sable folds and waved them away
her hands folded
Louis was obliged to relinquish that hand folded
her hands folded on her knee
her hands folded on the white sheet
her hands folded over the Bible on her chest","Folding the hands

Hands folded in one's lap
"
raise,6.0,2.0,12,4,"for his hand was still raised to it as he entered
and she saw the latter raise up his hand as if to strike his father
to raise his hand as if to strike him
She raised her hand to her chin
just as he was raising his hand to fling another rich largess
he gently raised his hand to stroke my hair","Raising a hand immediately to be called on

Raising a hand to ward off others from approaching or speaking
"
